Member_ID,Member_Name,Village,District,Loan_Amount_BDT,Interest_Rate_Percent,Loan_Start_Date,Loan_End_Date,Installment_Amount_BDT,Payment_Status
M10001,Rafiq Akter,Charpara,Mymensingh,52275,15,9/13/2023,9/12/2024,5009.69,Late
M10002,Jamal Begum,Modhupur,Mymensingh,36991,10,2/6/2024,2/5/2025,3390.84,Ongoing
M10003,Imran Begum,Modhupur,Rangpur,79310,10,9/13/2024,9/13/2025,7270.08,Late
M10004,Tania Ahmed,Kazipara,Barishal,127814,10,9/7/2023,9/6/2024,11716.28,Ongoing
M10005,Sabbir Akter,Charpara,Dhaka,166962,10,8/13/2025,8/13/2026,15304.85,Late
M10006,Arif Miah,Uttarpara,Barishal,105244,15,9/6/2025,9/6/2026,10085.88,Paid
M10007,Sabbir Talukder,Sonapur,Sylhet,36021,10,3/19/2023,3/18/2024,3301.92,Late
M10008,Rahim Khan,Kazipara,Chattogram,191759,10,4/13/2024,4/13/2025,17577.91,Paid
M10009,Ayesha Islam,Charpara,Rajshahi,149058,20,9/19/2024,9/19/2025,14905.8,Late
M10010,Jamal Akter,Modhupur,Chattogram,108211,15,10/24/2024,10/24/2025,10370.22,Due
M10011,Mitu Miah,Boro Bazar,Chattogram,42579,10,6/20/2024,6/20/2025,3903.08,Ongoing
M10012,Rafiq Akter,Shantipur,Barishal,83715,15,3/17/2024,3/17/2025,8022.69,Paid
M10013,Mitu Begum,Kazipara,Rajshahi,40141,20,1/3/2023,1/3/2024,4014.1,Late
M10014,Tania Sheikh,Dakkhinpara,Mymensingh,158049,18,5/3/2023,5/2/2024,15541.49,Late
M10015,Tania Miah,Sonapur,Dhaka,29038,10,7/2/2024,7/2/2025,2661.82,Late
M10016,Arif Miah,Sonapur,Dhaka,70054,12,7/8/2024,7/8/2025,6538.37,Ongoing
M10017,Arif Miah,Dakkhinpara,Sylhet,136479,18,2/19/2024,2/18/2025,13420.43,Due
M10018,Sabbir Islam,Uttarpara,Rangpur,111238,20,4/27/2024,4/27/2025,11123.8,Paid
M10019,Sabbir Miah,Shantipur,Barishal,37762,20,10/5/2023,10/4/2024,3776.2,Late
M10020,Nusrat Talukder,Modhupur,Dhaka,183958,15,9/4/2025,9/4/2026,17629.31,Due
M10021,Karim Miah,Dakkhinpara,Rangpur,54451,10,3/7/2024,3/7/2025,4991.34,Late
M10022,Imran Islam,Dakkhinpara,Mymensingh,42761,10,8/7/2024,8/7/2025,3919.76,Due
M10023,Hasan Sheikh,Charpara,Barishal,93332,20,1/24/2025,1/24/2026,9333.2,Late
M10024,Tania Hossain,Kazipara,Barishal,141119,15,6/21/2025,6/21/2026,13523.9,Late
M10025,Rahim Hossain,Dakkhinpara,Barishal,156234,15,12/20/2024,12/20/2025,14972.43,Late
M10026,Rahim Rahman,Kazipara,Khulna,194329,18,8/13/2025,8/13/2026,19109.02,Paid
M10027,Tania Rahman,Shantipur,Barishal,165314,18,4/13/2023,4/12/2024,16255.88,Due
M10028,Imran Sheikh,Modhupur,Khulna,129585,10,6/13/2025,6/13/2026,11878.62,Due
M10029,Rafiq Ahmed,Shantipur,Chattogram,142917,12,6/22/2024,6/22/2025,13338.92,Paid
M10030,Salma Sheikh,Sonapur,Chattogram,59064,15,7/13/2024,7/13/2025,5660.3,Ongoing
M10031,Nusrat Miah,Shantipur,Mymensingh,105028,18,1/1/2025,1/1/2026,10327.75,Paid
M10032,Rahim Islam,Uttarpara,Barishal,93273,10,7/9/2025,7/9/2026,8550.02,Ongoing
M10033,Jamal Akter,Dakkhinpara,Sylhet,35544,12,6/19/2024,6/19/2025,3317.44,Due
M10034,Nusrat Rahman,Uttarpara,Rajshahi,181558,18,2/12/2024,2/11/2025,17853.2,Paid
M10035,Arif Sheikh,Dakkhinpara,Rangpur,59677,20,6/11/2024,6/11/2025,5967.7,Paid
M10036,Hasan Sheikh,Charpara,Sylhet,194610,12,1/15/2023,1/15/2024,18163.6,Paid
M10037,Hasan Miah,Charpara,Rajshahi,83046,15,8/11/2025,8/11/2026,7958.57,Ongoing
M10038,Ayesha Akter,Shantipur,Dhaka,46110,12,3/3/2023,3/2/2024,4303.6,Paid
M10039,Nusrat Khan,Dakkhinpara,Dhaka,61925,20,12/20/2024,12/20/2025,6192.5,Late
M10040,Rahim Miah,Dakkhinpara,Sylhet,151666,20,9/25/2024,9/25/2025,15166.6,Due
